id;graphic_design;top_1_section;top_2_section;top_3_section
111570;B;3;4;5
116088;A;1;3;2
58524;B;4;3;5
108651;B;4;3;5
64606;B;4;5;3
108669;B;4;5;3
108579;A;3;2;1
114354;A;3;1;2
99240;B;4;3;5
57247;B;3;5;4
59663;B;4;3;5
6460;A;3;1;2
15910;C;3;6;0
51200;C;3;6;0
2902;B;4;3;5
29555;B;3;5;4
37972;B;4;3;5
6520;A;1;3;2
7140;A;3;2;1
115130;B;4;5;3
52047;C;3;6;0
53741;B;4;5;3
1169;A;3;2;1
40213;B;3;4;5
74392;C;3;6;0
114402;B;4;5;3
33702;A;3;1;2
84286;A;1;2;3
80577;B;3;5;4
67832;B;4;3;5
50181;A;1;2;3
11060;B;4;3;5
110731;A;1;2;3
106035;B;4;3;5
76920;A;1;3;2
94892;A;3;1;2
52180;B;4;5;3
29593;A;1;3;2
5482;B;4;3;5
79814;A;3;1;2
89166;B;3;4;5
2756;B;4;3;5
58432;B;4;5;3
5635;B;3;4;5
59400;A;1;3;2
10110;B;3;4;5
55556;A;1;3;2
71272;C;6;3;0
66979;B;4;3;5
105;B;4;5;3
108644;C;3;6;0
113930;B;4;3;5
115360;B;4;5;3
76285;A;1;3;2
65197;B;4;5;3
97762;B;3;4;5
95052;A;3;1;2
55296;C;3;6;0
35923;B;3;5;4
63816;B;4;3;5
75996;B;4;3;5
38949;C;6;3;0
6486;B;4;3;5
67982;B;4;3;5
24727;B;4;3;5
80305;A;1;2;3
61689;B;4;3;5
44640;B;3;4;5
85821;C;6;3;0
80677;B;4;3;5
50141;A;3;1;2
83047;B;4;3;5
50009;A;3;1;2
59336;C;3;6;0
25916;B;4;3;5
71335;C;6;3;0
6125;B;3;5;4
114457;A;1;3;2
75201;A;1;2;3
72687;A;3;2;1
18904;B;4;3;5
112457;B;4;3;5
81454;A;1;2;3
106365;C;6;3;0
3032;C;3;6;0
82575;B;4;5;3
46768;B;4;3;5
33339;A;3;2;1
37840;B;3;4;5
109864;A;3;1;2
42885;C;6;3;0
90971;B;4;5;3
4619;A;3;1;2
99508;C;3;6;0
38402;A;1;3;2
9382;A;3;1;2
90796;B;4;5;3
13797;B;4;3;5
72556;A;3;2;1
112702;A;1;2;3
52312;B;4;3;5
63352;B;3;4;5
1250;A;3;1;2
7286;B;3;5;4
112165;A;3;2;1
7285;A;1;3;2
79291;A;3;1;2
76300;A;1;2;3
69191;B;3;4;5
38934;A;1;3;2
48345;A;3;2;1
111556;B;3;5;4
92540;B;4;5;3
43140;C;6;3;0
5199;B;4;3;5
28166;B;4;3;5
82666;B;4;3;5
21160;C;3;6;0
34266;A;1;3;2
115045;B;4;3;5
30288;A;1;3;2
40202;A;3;1;2
72462;B;3;5;4
67149;A;1;3;2
87671;B;3;5;4
51971;A;3;1;2
77951;A;3;1;2
70802;B;4;3;5
43938;B;4;3;5
24594;C;6;3;0
99697;A;3;2;1
17095;B;4;5;3
58530;B;4;3;5
114217;B;4;3;5
61539;B;4;5;3
85397;A;3;2;1
74820;B;4;3;5
13782;B;4;5;3
42973;C;6;3;0
10833;B;3;5;4
16183;B;3;4;5
91919;C;3;6;0
13066;B;4;3;5
58020;B;4;3;5
90665;B;4;3;5
37535;B;3;4;5
44290;B;3;4;5
65136;B;4;5;3
48387;A;3;1;2
72893;C;6;3;0
26355;B;4;3;5
3630;C;3;6;0
1671;B;4;3;5
42569;B;4;3;5
98559;B;4;5;3
74110;B;4;5;3
87160;B;4;3;5
55392;B;4;3;5
56605;C;6;3;0
46370;C;6;3;0
14498;B;4;5;3
34259;A;3;1;2
111449;B;4;5;3
70060;B;4;3;5
100650;B;4;5;3
24677;B;4;3;5
76767;A;3;2;1
8512;B;4;5;3
91725;A;3;1;2
72358;B;4;3;5
109146;B;4;5;3
105759;A;1;2;3
84599;B;4;3;5
49265;C;6;3;0
66930;B;4;3;5
95832;A;1;3;2
88157;A;3;1;2
64990;B;4;3;5
92804;A;3;1;2
52790;A;3;2;1
9836;B;4;3;5
77437;B;4;3;5
25032;B;4;5;3
66366;B;3;4;5
31173;B;3;5;4
61328;A;3;1;2
20848;B;4;5;3
88093;B;3;4;5
93136;B;4;5;3
94287;A;1;3;2
95045;B;4;5;3
34568;A;3;1;2
942;A;3;1;2
101714;B;3;5;4
70273;B;3;4;5
6105;A;3;1;2
89231;A;1;3;2
71145;A;3;2;1
74312;B;3;5;4
56643;B;4;3;5
80217;B;4;3;5
1691;A;3;2;1
30566;C;6;3;0
51810;B;4;5;3
10805;A;3;2;1
77642;A;1;2;3
51152;B;4;3;5
11110;B;4;3;5
83974;B;4;3;5
11749;A;1;3;2
5918;C;6;3;0
53754;A;3;1;2
70211;A;1;3;2
5269;C;3;6;0
65041;B;4;5;3
51385;B;4;5;3
75711;A;3;2;1
61853;A;3;1;2
86862;B;4;3;5
29526;A;3;2;1
109000;B;3;4;5
64197;B;4;5;3
9652;B;4;3;5
28733;B;4;5;3
29163;B;4;3;5
104812;A;3;1;2
55065;B;3;5;4
36720;B;4;3;5
7646;B;4;5;3
26571;B;4;3;5
92669;A;3;2;1
103259;B;4;3;5
21016;B;4;5;3
77301;B;3;4;5
101182;B;3;5;4
6910;A;3;2;1
80315;B;4;3;5
67534;B;3;4;5
34614;B;4;3;5
49527;B;4;3;5
7789;B;3;4;5
115046;C;6;3;0
66317;B;4;3;5
13352;B;4;3;5
107166;B;4;3;5
67973;B;4;3;5
5588;C;6;3;0
111534;B;4;3;5
75851;C;6;3;0
87119;B;3;5;4
57726;B;4;3;5
6239;A;3;1;2
101829;B;3;5;4
33400;A;3;2;1
14053;B;4;3;5
87124;B;4;5;3
84681;A;3;1;2
82236;A;1;2;3
113156;B;4;3;5
53744;A;3;2;1
51301;A;1;3;2
105459;B;4;3;5
60417;C;3;6;0
61375;A;3;1;2
2078;C;6;3;0
85599;A;3;1;2
92933;A;1;3;2
44613;B;4;3;5
91641;B;4;3;5
69095;B;4;3;5
53942;B;4;3;5
22386;A;1;3;2
5456;A;1;3;2
12827;A;3;1;2
95705;A;3;2;1
22349;B;4;3;5
72643;A;3;2;1
10277;B;4;5;3
53333;A;1;2;3
96243;B;4;3;5
8351;B;4;3;5
88490;C;3;6;0
18396;B;3;4;5
54480;B;4;3;5
40313;A;3;1;2
56796;A;3;1;2
4095;B;4;5;3
72298;A;3;1;2
64068;A;1;3;2
28772;A;1;3;2
95506;A;3;1;2
84850;B;3;4;5
61477;B;3;4;5
107275;B;4;3;5
115864;B;4;5;3
57034;A;3;2;1
115326;B;4;3;5
26504;B;4;3;5
110931;A;3;2;1
1315;B;3;5;4
38155;C;6;3;0
74117;B;4;5;3
2329;A;1;2;3
107043;C;6;3;0
28568;A;3;2;1
73635;B;3;5;4
112642;B;4;3;5
78596;A;3;2;1
56507;C;6;3;0
67393;C;6;3;0
77029;B;4;3;5
94260;A;3;1;2
59575;A;3;1;2
29225;A;3;1;2
112852;B;4;5;3
64694;B;4;3;5
79094;B;4;5;3
88183;B;3;4;5
84993;B;4;5;3
94756;B;4;5;3
87440;B;3;5;4
104552;B;4;3;5
10334;C;3;6;0
87707;C;6;3;0
9480;C;3;6;0
9642;B;4;5;3
43212;B;4;5;3
66707;A;1;2;3
69804;B;4;3;5
29390;B;4;5;3
75826;B;3;5;4
10478;C;3;6;0
5191;B;4;3;5
15219;A;3;1;2
104380;C;3;6;0
63262;A;3;2;1
50403;B;4;5;3
113898;B;4;3;5
90875;B;4;3;5
110036;A;3;1;2
5151;A;3;1;2
10667;B;4;3;5
82139;B;3;5;4
45626;A;3;1;2
61975;A;1;3;2
77296;A;1;3;2
96762;A;3;1;2
50146;A;1;3;2
13559;B;3;5;4
79628;A;3;1;2
25485;B;4;5;3
53345;B;4;3;5
79047;B;4;5;3
71099;A;3;1;2
81560;C;3;6;0
65448;B;3;5;4
19188;B;4;3;5
410;B;4;5;3
56382;A;3;1;2
52340;B;4;3;5
57299;B;4;3;5
92293;A;1;3;2
116272;A;3;2;1
56529;B;4;3;5
37277;A;3;1;2
76513;B;4;3;5
28788;B;3;5;4
58392;B;4;3;5
110667;B;4;5;3
14489;B;4;5;3
49307;B;3;4;5
9001;B;3;4;5
107021;B;4;3;5
79792;B;4;5;3
6631;A;1;3;2
38392;B;4;5;3
90891;B;4;3;5
59135;B;4;5;3
55782;A;1;2;3
89839;A;1;2;3
19491;B;4;3;5
82926;B;4;3;5
113459;B;4;3;5
46734;B;4;5;3
12545;A;3;1;2
116329;B;4;3;5
13447;B;4;5;3
74560;B;4;5;3
108917;B;4;3;5
106751;A;3;2;1
79209;C;6;3;0
51187;C;6;3;0
57571;A;3;1;2
73523;A;1;2;3
52248;C;3;6;0
111792;A;3;1;2
676;B;4;3;5
83830;B;4;3;5
51846;A;1;3;2
103830;A;3;1;2
98541;B;3;5;4
79350;B;3;4;5
86203;B;4;5;3
50130;A;1;2;3
112758;B;4;5;3
47258;B;3;4;5
50592;A;1;3;2
21554;A;3;1;2
70787;A;3;1;2
112577;B;4;3;5
99826;B;4;3;5
88253;A;1;3;2
14468;B;3;5;4
110520;B;4;5;3
86648;A;1;2;3
25461;B;3;4;5
116101;B;4;3;5
32185;B;4;3;5
106893;A;3;1;2
28645;A;3;1;2
58086;B;4;3;5
27353;A;3;2;1
12801;A;3;2;1
113429;B;4;5;3
54416;B;4;3;5
73764;B;4;5;3
14955;B;4;3;5
12642;B;4;3;5
5717;B;4;3;5
59418;B;3;4;5
3105;A;1;2;3
64116;B;4;5;3
8632;A;3;1;2
53743;B;4;5;3
95685;C;6;3;0
73661;C;3;6;0
105651;A;3;1;2
24103;B;4;3;5
49620;A;1;3;2
13441;B;3;4;5
77142;B;4;3;5
98537;B;4;3;5
18494;A;1;3;2
76386;C;3;6;0
59140;C;3;6;0
85481;A;1;3;2
35560;B;3;5;4
82927;A;3;2;1
104785;B;4;5;3
74569;A;1;2;3
75667;B;4;3;5
27344;C;6;3;0
56934;B;4;5;3
103534;A;3;1;2
45348;B;3;5;4
57577;B;4;5;3
86533;B;4;3;5
35446;B;3;4;5
76452;C;6;3;0
101867;A;3;1;2
98573;B;4;3;5
34480;B;3;4;5
70090;B;4;5;3
63323;C;6;3;0
82275;B;4;3;5
34497;B;4;5;3
111724;C;6;3;0
106519;A;3;1;2
74581;B;3;5;4
56973;C;6;3;0
113225;B;4;3;5
19692;C;6;3;0
26852;B;4;3;5
56008;B;4;5;3
19809;B;4;3;5
13227;A;3;1;2
28953;A;3;1;2
11644;C;6;3;0
27095;A;3;2;1
85125;B;4;5;3
82205;B;4;5;3
40047;C;6;3;0
38845;B;3;5;4
8291;A;1;3;2
111454;A;3;1;2
29873;B;4;3;5
72071;B;3;4;5
81362;B;3;4;5
8242;A;3;1;2
57127;B;3;4;5
113447;A;3;1;2
7379;B;4;5;3
93359;C;3;6;0
89670;A;1;3;2
97225;A;3;1;2
48672;B;3;5;4
72019;A;3;1;2
37474;C;3;6;0
115723;A;1;3;2
83041;B;4;3;5
29345;B;4;3;5
42729;B;3;5;4
29543;B;4;5;3
7429;A;3;1;2
23766;A;3;1;2
32257;A;1;2;3
74796;B;4;3;5
62620;B;4;3;5
1459;C;6;3;0
11453;B;4;5;3
52914;B;4;3;5
28330;B;4;3;5
20091;B;4;5;3
51021;B;4;3;5
88332;A;3;1;2
19911;B;4;3;5
19573;A;3;1;2
37182;B;4;3;5
52299;B;4;5;3
40156;B;4;5;3
116009;B;4;3;5
31636;C;6;3;0
14248;A;3;1;2
40858;A;3;1;2
111396;B;4;3;5
38602;B;3;4;5
92010;B;3;5;4
49071;B;4;3;5
71454;B;3;4;5
77853;A;3;1;2
52049;A;3;2;1
13416;C;6;3;0
39466;B;4;3;5
14717;A;1;3;2
53195;B;4;3;5
20017;B;3;5;4
48402;B;4;5;3
36856;B;3;5;4
59062;A;3;1;2
56576;B;4;3;5
60511;B;4;5;3
45435;C;6;3;0
10502;A;1;3;2
84064;A;1;3;2
83409;C;3;6;0
54079;B;4;5;3
18067;B;4;3;5
65895;B;4;5;3
905;A;3;2;1
49810;B;3;5;4
116015;A;3;1;2
71503;A;3;1;2
19282;B;3;4;5
90758;B;4;5;3
110035;B;4;5;3
82035;A;3;1;2
108689;B;4;5;3
13059;A;3;1;2
112838;B;4;3;5
34999;B;4;3;5
55079;A;1;3;2
59304;B;4;5;3
48678;A;3;2;1
96633;C;6;3;0
24030;B;4;5;3
92799;C;3;6;0
85362;A;3;1;2
48229;B;4;3;5
7563;A;3;1;2
34018;A;3;1;2
49427;B;3;4;5
50259;A;3;1;2
102825;A;1;3;2
80745;B;4;3;5
32891;B;4;3;5
4011;B;4;3;5
49456;B;3;5;4
79124;B;4;5;3
33034;A;3;1;2
58919;A;3;1;2
85918;B;3;5;4
66581;B;4;3;5
66936;B;4;5;3
46986;A;3;1;2
61282;B;3;4;5
94823;B;4;5;3
78720;A;3;1;2
36044;B;3;5;4
57225;B;4;5;3
67796;B;4;3;5
109691;A;3;1;2
56913;B;4;5;3
3361;C;3;6;0
39581;A;1;3;2
23864;A;3;1;2
7806;B;4;3;5
19942;B;4;3;5
80079;B;4;3;5
24562;A;3;1;2
98322;A;1;3;2
56618;A;1;3;2
26539;A;1;3;2
32109;A;1;3;2
46274;A;3;1;2
23458;B;4;3;5
28468;B;4;3;5
17413;C;3;6;0
2513;B;3;4;5
32873;C;6;3;0
95273;C;6;3;0
66584;B;4;3;5
34746;A;1;2;3
19663;A;1;3;2
40289;B;4;3;5
53098;B;4;5;3
62710;B;4;3;5
43524;B;4;3;5
1322;B;4;3;5
115134;B;3;4;5
38631;B;3;4;5
101395;B;4;5;3
46717;B;3;4;5
76035;A;1;2;3
113773;B;4;3;5
63898;A;3;1;2
92081;B;4;3;5
16720;B;3;4;5
53447;A;3;1;2
62272;A;3;1;2
99995;A;1;3;2
16920;A;3;2;1
41704;C;3;6;0
67708;A;3;1;2
20553;C;6;3;0
65729;A;3;2;1
80032;B;4;3;5
108787;C;6;3;0
115988;A;3;1;2
109947;B;3;5;4
30224;B;4;3;5
68073;A;3;1;2
84504;A;1;3;2
2043;C;6;3;0
106182;B;4;3;5
116072;B;4;3;5
50213;A;1;3;2
2754;B;4;3;5
77371;B;4;3;5
97963;B;4;3;5
99751;A;1;2;3
65518;B;4;3;5
101436;A;3;1;2
107379;C;6;3;0
77028;B;4;3;5
5353;C;6;3;0
10370;B;3;4;5
18870;B;4;3;5
113396;A;3;1;2
90927;C;3;6;0
10378;A;1;3;2
80335;B;4;5;3
52370;C;3;6;0
89407;B;4;3;5
65547;C;6;3;0
10766;B;4;3;5
57287;B;4;3;5
58867;A;3;1;2
8528;C;6;3;0
112900;B;4;5;3
36605;B;3;4;5
53962;B;4;3;5
5567;A;3;2;1
32909;A;3;1;2
111999;B;4;3;5
86643;B;4;5;3
19560;A;3;2;1
111690;B;4;3;5
21847;B;4;5;3
19345;B;4;5;3
3738;B;4;5;3
93850;B;4;3;5
112085;B;4;5;3
17726;B;4;3;5
90581;B;4;3;5
90264;A;1;2;3
65654;C;3;6;0
32992;B;4;5;3
47882;A;3;1;2
79254;B;3;4;5
49661;B;4;3;5
29549;A;3;1;2
62766;B;4;3;5
62677;B;3;5;4
78509;B;3;5;4
50844;B;4;3;5
2223;B;3;4;5
66763;A;3;1;2
65656;B;4;3;5
32048;B;4;3;5
72012;C;3;6;0
86380;A;1;2;3
97599;B;4;3;5
91067;C;3;6;0
94617;A;1;3;2
91738;A;3;1;2
16916;B;4;3;5
1107;B;3;4;5
111480;B;4;3;5
106922;B;4;3;5
41188;B;4;5;3
91155;A;3;2;1
90571;B;4;3;5
31594;B;4;3;5
39047;A;3;1;2
50172;B;4;3;5
38702;B;3;5;4
35546;C;6;3;0
63859;B;4;5;3
44696;C;3;6;0
29521;C;6;3;0
11921;B;4;3;5
66664;B;4;5;3
100847;B;4;3;5
6764;B;4;5;3
62347;C;6;3;0
61600;A;1;2;3
74376;B;4;3;5
55261;A;1;2;3
97738;A;3;2;1
71842;A;3;2;1
65194;B;3;4;5
101779;B;4;3;5
102909;B;4;3;5
25054;B;4;3;5
95274;C;6;3;0
82118;B;4;3;5
29074;A;3;1;2
21412;A;3;2;1
45345;B;4;5;3
11493;A;3;2;1
23859;B;3;5;4
69443;B;4;5;3
112742;C;6;3;0
69292;A;1;3;2
103100;B;4;5;3
17281;B;4;5;3
40371;B;3;4;5
58419;C;3;6;0
9147;B;3;5;4
6739;B;4;3;5
107672;A;3;2;1
58881;A;3;2;1
79204;B;3;4;5
8929;B;3;4;5
26527;C;6;3;0
43431;A;3;1;2
34245;B;4;3;5
10740;A;1;2;3
599;B;4;3;5
87276;A;3;1;2
49072;B;3;4;5
44230;A;3;1;2
85567;B;4;3;5
48700;A;1;3;2
76411;A;1;2;3
108771;B;4;3;5
61007;A;3;2;1
69823;B;3;4;5
1730;C;6;3;0
22307;A;1;3;2
67304;A;3;1;2
26769;B;4;5;3
53494;A;3;2;1
54931;B;3;4;5
42160;B;4;3;5
115019;B;4;3;5
107048;B;3;4;5
80950;B;4;5;3
9598;C;3;6;0
90676;B;4;5;3
42805;C;3;6;0
45901;C;3;6;0
37743;C;3;6;0
37022;B;4;3;5
91600;B;4;5;3
17543;B;3;5;4
52820;A;1;2;3
9583;A;3;1;2
73117;C;6;3;0
64171;B;4;3;5
33188;A;1;3;2
42647;B;4;5;3
57495;B;4;3;5
64279;C;6;3;0
63009;A;3;1;2
102124;A;1;2;3
59790;A;1;3;2
51731;B;3;5;4
52807;B;3;4;5
49899;B;4;3;5
14009;A;3;1;2
74193;A;3;1;2
84534;A;3;1;2
48044;B;4;3;5
79869;B;4;3;5
65819;A;1;3;2
46913;A;3;1;2
60989;A;3;1;2
27957;B;4;5;3
11864;B;3;5;4
40928;A;3;1;2
84561;B;3;5;4
96402;A;3;1;2
42784;A;1;2;3
8700;A;3;1;2
18432;A;3;1;2
22359;C;6;3;0
17869;A;1;2;3
102161;B;4;3;5
78609;A;1;3;2
26788;A;3;2;1
79159;B;4;5;3
105970;B;4;3;5
91679;B;4;3;5
66344;B;3;5;4
64102;A;3;1;2
107845;A;3;1;2
11069;A;3;1;2
11465;B;4;3;5
105797;B;4;5;3
21832;B;4;3;5
35204;A;1;2;3
58525;B;4;3;5
63164;B;4;3;5
77923;B;4;3;5
58052;A;3;1;2
28532;B;4;3;5
14147;B;3;5;4
100301;B;4;3;5
67865;A;1;3;2
101023;B;4;5;3
105552;B;4;3;5
11533;B;4;3;5
28412;A;3;1;2
70097;A;3;2;1
113609;B;3;5;4
60915;B;3;4;5
18419;A;1;2;3
105788;A;3;1;2
2903;B;4;3;5
21607;C;6;3;0
9582;A;3;1;2
82855;B;4;3;5
62255;B;4;5;3
16040;B;4;3;5
7389;B;4;3;5
78045;B;3;4;5
98810;A;1;2;3
49067;A;1;2;3
16697;A;1;2;3
58973;A;3;1;2
49302;A;3;2;1
60545;A;1;3;2
66005;B;4;5;3
110695;A;3;1;2
110702;B;4;5;3
45026;C;6;3;0
38288;A;3;1;2
2811;B;4;5;3
99665;A;3;1;2
50716;B;4;3;5
48997;B;3;5;4
54573;C;6;3;0
22396;B;4;3;5
49068;B;4;3;5
54458;B;4;3;5
51626;A;3;1;2
18727;C;6;3;0
83476;C;6;3;0
16998;C;6;3;0
73804;B;4;5;3
74301;B;4;5;3
32024;A;3;2;1
6171;B;3;5;4
47957;A;1;2;3
27192;B;4;3;5
91311;B;4;3;5
89003;A;3;1;2
67262;C;6;3;0
67385;B;4;3;5
40549;A;3;1;2
2640;B;4;5;3
81094;B;4;3;5
76383;B;3;5;4
13948;B;4;3;5
18114;B;4;3;5
76392;A;1;3;2
17700;C;6;3;0
106551;B;4;3;5
53706;B;4;5;3
103396;A;3;2;1
111801;B;4;3;5
40534;A;3;1;2
56087;B;4;3;5
32210;A;1;3;2
73350;C;6;3;0
108192;B;4;5;3
34094;B;4;3;5
82552;B;3;5;4
50987;A;3;2;1
60057;C;6;3;0
10269;A;3;2;1
53683;A;1;2;3
15350;A;3;1;2
25522;B;3;5;4
94111;B;3;5;4
727;A;3;1;2
12056;A;3;1;2
53046;B;4;5;3
103832;B;3;4;5
13625;B;4;3;5
112141;B;3;5;4
97407;B;3;4;5
91096;B;4;5;3
107073;B;3;4;5
19621;A;1;2;3
80323;B;4;5;3
